"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","6","tests.unit","test_factory","","","","test_app_uses_environment_specific_config_configured_in_configpy","
    Ensure the app uses the appropriate configuration class based on FLASK_ENV.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","6","tests.unit.handlers","test_campaign_classifier_handler","","","","test_campaign_classifier_handler_integration[subject-Random Subject-unclassified]","
    Integration test to verify that CampaignClassifierHandler processes an Email object correctly,
    assigning campaign_type based on a dynamic field while leaving other fields untouched.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","6","tests.unit","test_generic_view","","","","test_generic_view_returns_status_and_handler","
    Test that the correct response is returned, including status and handler fields.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","0","tests.unit","test_handler_registry","","","","test_handler_registry_rejects_invalid_handler[invalid_handler4]","
    Test that the handler registry rejects invalid handler classes.
    "
"passed","Tue Jan 28 16:29:58 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","31","tests.unit.handlers","test_base_handler","","","","test_base_handler_logs_health_message","
    Test that BaseHandler logs a health-related message when handling an email.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","47","tests.unit.handlers","test_campaign_classifier_handler","","","","test_campaign_classifier_handler_integration[subject-Special Sale-promotion]","
    Integration test to verify that CampaignClassifierHandler processes an Email object correctly,
    assigning campaign_type based on a dynamic field while leaving other fields untouched.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","1","tests.unit.handlers","test_steps","","","","test_assign_campaign_type_with_matching_subject","
    Test that assign_campaign_type assigns the correct campaign type
    based on a matching subject keyword.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","8","tests.unit.handlers","test_campaign_classifier_handler","","","","test_campaign_classifier_handler_integration[subject-Meeting Invitation-unclassified]","
    Integration test to verify that CampaignClassifierHandler processes an Email object correctly,
    assigning campaign_type based on a dynamic field while leaving other fields untouched.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","8","tests.unit","test_db","","","","test_store_email_logs_error_on_failure","
    Ensure store_email logs an error if Firestore raises an exception.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","0","tests.unit","test_email_schema","","","","test_preprocess_payload_raises_valueerror_when_missing_required_fields[headers.subject-Missing required fields]","
    Test preprocess_payload with missing required fields.

    Ensures that a ValueError is raised when required fields are missing.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","0","tests.unit","test_email_schema","","","","test_flatten_payload_returns_none_when_missing_fields[headers.date-date]","
    Test flatten_payload with missing keys in the nested payload.

    Ensures that missing fields return None without raising errors.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","7","tests.unit","test_db","","","","test_store_email_uses_firestore_collection_from_config","
    Ensure store_email adds data to the correct Firestore collection based on the environment.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","1","tests.unit","test_generic_view","","","","test_generic_view_invalid_input[headers.date-Invalid Date-Validation failed]","
    Parametrized test for invalid input values.

    Ensures specific fields with invalid data return a 400 error.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","0","tests.unit","test_handler_registry","","","","test_handler_registry_rejects_invalid_handler[not_a_class]","
    Test that the handler registry rejects invalid handler classes.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","5","tests.unit","test_db","","","","test_subsequent_calls_to_get_db_return_same_helper_instance","
    Ensure get_db returns the same DatabaseHelper instance for subsequent calls.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","1","tests.unit","test_email_schema","","","","test_from_flat_data_creates_valid_email_from_valid_flat_payload","
    Test from_flat_data creates a valid Email instance.

    Ensures the factory method correctly initializes an Email model.
    "
"passed","Tue Jan 28 16:29:59 UTC 2025","Tue Jan 28 16:29:59 UTC 2025","7","tests.unit.handlers","test_base_handler","","","","test_base_handler_logs_email_stored_in_database","
    Test that the final modified email model is passed to the storage step to be stored in the database.
    "
