"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","22","tests.unit.handlers","test_base_handler","","","","test_base_handler_logs_health_message","
    Test that BaseHandler logs a health-related message when handling an email.
    "
"passed","Wed Jan 15 13:16:35 UTC 2025","Wed Jan 15 13:16:35 UTC 2025","1","tests.unit","test_logging","","","","test_logging_incoming_request","
    Test that incoming requests are logged with method and path.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit","test_handler_registry","","","","test_handler_registry_register_and_retrieve","
    Test that handlers can be registered and retrieved correctly from the registry.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit","test_email_schema","","","","test_flatten_payload_missing_fields[html-html]","
    Test flatten_payload with missing keys in the nested payload.

    Ensures that missing fields return None without raising errors.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","3","tests.unit","test_handler_registry","","","","test_initialize_handler_registry_from_config","
    Test that the handler registry is initialized correctly from the YAML configuration.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit","test_handler_registry","","","","test_handler_registry_rejects_invalid_handler[None]","
    Test that the handler registry rejects invalid handler classes.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit","test_email_schema","","","","test_preprocess_payload_valid_input","
    Test preprocess_payload with valid nested payload.

    Verifies that preprocessing flattens the payload and parses the date correctly.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit.handlers","test_steps","","","","test_assign_campaign_type_with_no_match","
    Test that assign_campaign_type assigns a default campaign type
    when no conditions are met.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit","test_handler_registry","","","","test_handler_registry_rejects_invalid_handler[not_a_class]","
    Test that the handler registry rejects invalid handler classes.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit","test_email_schema","","","","test_flatten_payload_invalid_input","
    Test flatten_payload with an invalid (non-dictionary) input.

    Ensures that the method raises a ValueError when input is not a dictionary.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit","test_handler_registry","","","","test_app_initializes_with_handler_registry","
    Test that the app initializes with a handler registry in its config.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","6","tests.unit","test_handler_registry","","","","test_load_invalid_yaml_configs[handlers.CampaignClassifierHandler.steps-None]","
    Parametrized test for various invalid YAML configurations.

    Each test modifies a specific part of the valid configuration and expects a ValueError.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit","test_handler_registry","","","","test_handler_registry_rejects_invalid_handler[invalid_handler3]","
    Test that the handler registry rejects invalid handler classes.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit.handlers","test_campaign_classifier_handler","","","","test_campaign_classifier_handler_integration[subject-Meeting Invitation-unclassified]","
    Integration test to verify that CampaignClassifierHandler processes an Email object correctly,
    assigning campaign_type based on a dynamic field while leaving other fields untouched.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit","test_email_schema","","","","test_flatten_payload_missing_fields[plain-plain]","
    Test flatten_payload with missing keys in the nested payload.

    Ensures that missing fields return None without raising errors.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","0","tests.unit","test_handler_registry","","","","test_handler_registry_defaults_to_generic_handler",""
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit","test_email_schema","","","","test_flatten_payload_missing_fields[headers.subject-subject]","
    Test flatten_payload with missing keys in the nested payload.

    Ensures that missing fields return None without raising errors.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","2","tests.unit","test_generic_view","","","","test_generic_view_returns_status_and_handler","
    Test that the correct response is returned, including status and handler fields.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","6","tests.unit","test_generic_view","","","","test_generic_view_selects_correct_handler","
    Test that the correct handler is selected based on the sender.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","4","tests.unit","test_handler_registry","","","","test_valid_yaml_config_parses_steps","
    Test that the steps in a valid YAML configuration are correctly parsed.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit.handlers","test_campaign_classifier_handler","","","","test_campaign_classifier_handler_integration[subject-Random Subject-unclassified]","
    Integration test to verify that CampaignClassifierHandler processes an Email object correctly,
    assigning campaign_type based on a dynamic field while leaving other fields untouched.
    "
"passed","Wed Jan 15 13:16:34 UTC 2025","Wed Jan 15 13:16:34 UTC 2025","1","tests.unit","test_generic_view","","","","test_generic_view_missing_required_fields[envelope.from-Validation failed]","
    Parametrized test for missing required fields.

    Ensures that missing required fields return a 400 error.
    "
